0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0
3	5	0	0	0	0	0	0
3	5	7	0	0	0	0	0
3	5	7	7	0	0	0	0
3	5	7	7	7	0	0	0
2	4	6	7	7	7	0	0
2	4	6	7	7	7	7	0
2	4	6	7	7	7	7	7
13	4	6	7	7	7	7	7
13	11	6	7	7	7	7	7
13	11	9	7	7	7	7	7
13	11	9	8	7	7	7	7
13	11	9	8	8	7	7	7
14	12	10	8	8	8	7	7
14	12	10	8	8	8	8	7
14	12	10	8	8	8	8	8
0	12	10	8	8	8	8	8
0	0	10	8	8	8	8	8
0	0	0	9	8	8	8	8
0	0	0	0	8	8	8	8
0	0	0	0	0	8	8	8
0	0	0	0	0	0	8	8
0	0	0	0	0	0	0	8
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
